provincia,casos
Guayas,17257
Pichincha,13159
Manabí,6012
Santo Domingo de los Tsáchilas,2996
Esmeraldas,2906
Azuay,2856
El Oro,2758
Los Ríos,2757
Loja,1955
Tungurahua,1833
Cotopaxi,1785
Morona Santiago,1745
Pastaza,1274
Orellana,1222
Chimborazo,1196
Imbabura,1182
Santa Elena,1113
Bolivar,1038
Sucumbíos,988
Zamora Chinchipe,859
Napo,858
Carchi,675
